epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7654,1.34312,1.57844,1.24208,0.6696,0.62913,0.63643,0.4086,0.94438,0.66138,0.96233,0.000552058,0.000552058,0.000552058
2,89.7063,1.22714,0.78527,1.15145,0.66887,0.68063,0.66114,0.41502,0.93256,0.64794,0.96839,0.00108579,0.00108579,0.00108579
3,129.586,1.19022,0.70208,1.13459,0.68792,0.71944,0.66938,0.41514,0.97283,0.56967,0.99101,0.00159752,0.00159752,0.00159752
4,188.57,1.17104,0.66442,1.12236,0.63501,0.68903,0.65195,0.40531,0.9657,0.52863,0.98731,0.00156798,0.00156798,0.00156798
5,232.083,1.16823,0.64353,1.12569,0.73795,0.71576,0.70681,0.42999,0.91294,0.50297,0.95824,0.00153497,0.00153497,0.00153497
6,283.224,1.13773,0.61139,1.10476,0.77579,0.75686,0.75875,0.45323,0.91147,0.48131,0.95579,0.00150197,0.00150197,0.00150197
7,329.187,1.12265,0.58954,1.0983,0.71533,0.73167,0.69829,0.42851,0.90518,0.48006,0.95854,0.00146896,0.00146896,0.00146896
8,391.76,1.11229,0.58084,1.09429,0.76376,0.76099,0.74408,0.45345,0.88772,0.47119,0.95186,0.00143595,0.00143595,0.00143595
9,430.664,1.109,0.56958,1.09292,0.80496,0.76321,0.76037,0.46152,0.89651,0.45133,0.95099,0.00140295,0.00140295,0.00140295
10,469.686,1.09065,0.56171,1.08018,0.79379,0.75393,0.74844,0.44837,0.92603,0.45296,0.96082,0.00136994,0.00136994,0.00136994
11,518.142,1.09248,0.55756,1.08605,0.7765,0.75435,0.74038,0.44783,0.89932,0.44687,0.95378,0.00133693,0.00133693,0.00133693
12,557.068,1.07383,0.54758,1.07709,0.78254,0.7405,0.74537,0.45251,0.90808,0.46246,0.95665,0.00130393,0.00130393,0.00130393
13,598.282,1.07943,0.54175,1.07762,0.80366,0.76443,0.76685,0.46324,0.87739,0.4292,0.94827,0.00127092,0.00127092,0.00127092
14,637.17,1.06576,0.53494,1.06885,0.79606,0.77485,0.7725,0.46443,0.89507,0.42669,0.95913,0.00123791,0.00123791,0.00123791
15,677.231,1.04798,0.5297,1.06394,0.79713,0.76946,0.76224,0.46662,0.86725,0.42085,0.94412,0.00120491,0.00120491,0.00120491
16,726.754,1.04788,0.5247,1.06276,0.81803,0.78051,0.76544,0.45972,0.88982,0.41683,0.94862,0.0011719,0.0011719,0.0011719
17,767.116,1.05282,0.52336,1.06428,0.82436,0.78697,0.77583,0.46968,0.85994,0.40614,0.94314,0.00113889,0.00113889,0.00113889
18,808.138,1.03324,0.51244,1.05674,0.80911,0.77603,0.77501,0.47193,0.8684,0.41032,0.94712,0.00110589,0.00110589,0.00110589
19,847.807,1.02765,0.50708,1.04887,0.81047,0.78247,0.77576,0.47349,0.86749,0.41678,0.94491,0.00107288,0.00107288,0.00107288
20,889.503,1.02011,0.50707,1.04813,0.81264,0.78469,0.7815,0.47679,0.85469,0.39806,0.93994,0.00103987,0.00103987,0.00103987
21,941.428,1.01737,0.5052,1.04824,0.82688,0.78254,0.77771,0.47692,0.86032,0.39672,0.94286,0.00100687,0.00100687,0.00100687
22,981.493,1.01417,0.50202,1.04716,0.81797,0.77648,0.77676,0.46877,0.87102,0.41819,0.94375,0.000973861,0.000973861,0.000973861
23,1022.17,1.00183,0.48988,1.03879,0.80967,0.76985,0.76907,0.47378,0.86043,0.40101,0.93842,0.000940855,0.000940855,0.000940855
24,1061.5,1.00356,0.49404,1.0404,0.81678,0.76958,0.77895,0.47445,0.86141,0.40567,0.93942,0.000907848,0.000907848,0.000907848
25,1100.84,0.9991,0.48934,1.0376,0.80889,0.78134,0.77549,0.47678,0.85457,0.38879,0.93872,0.000874842,0.000874842,0.000874842
26,1143.93,0.99763,0.48605,1.03528,0.82044,0.78292,0.78726,0.48476,0.8396,0.37808,0.93384,0.000841835,0.000841835,0.000841835
27,1184.09,0.99222,0.48635,1.03574,0.81423,0.78689,0.78001,0.47413,0.85664,0.38833,0.9406,0.000808828,0.000808828,0.000808828
28,1226.53,0.9788,0.47879,1.03105,0.80763,0.79316,0.77973,0.47953,0.84305,0.38589,0.93909,0.000775822,0.000775822,0.000775822
29,1266.73,0.97423,0.47505,1.02619,0.8166,0.79298,0.78865,0.4844,0.84245,0.3764,0.93345,0.000742815,0.000742815,0.000742815
30,1324.57,0.97001,0.4722,1.02429,0.82105,0.79116,0.78997,0.48342,0.82949,0.37453,0.93093,0.000709809,0.000709809,0.000709809
31,1364.59,0.96658,0.46981,1.02438,0.82244,0.79875,0.79025,0.48533,0.83455,0.37131,0.93153,0.000676802,0.000676802,0.000676802
32,1403.89,0.96584,0.46956,1.02325,0.82374,0.77799,0.78866,0.48292,0.84917,0.37923,0.93918,0.000643795,0.000643795,0.000643795
33,1443.32,0.96326,0.46454,1.01872,0.82509,0.79173,0.78792,0.48621,0.83386,0.373,0.93311,0.000610789,0.000610789,0.000610789
34,1482.64,0.9514,0.4586,1.01985,0.82502,0.79495,0.79438,0.48578,0.82935,0.37545,0.93325,0.000577782,0.000577782,0.000577782
35,1528.68,0.94649,0.45664,1.01315,0.83005,0.79203,0.79677,0.48959,0.82612,0.36557,0.93132,0.000544776,0.000544776,0.000544776
